web-scraper-order,web-scraper-start-url,unit-codes,unit-codes-href,prereqs
"1560438552-2644","http://handbook.mq.edu.au/2019/Units/UGByCode","BIOL247 - Systems Physiology","http://handbook.mq.edu.au/2019/Units/UGUnit/BIOL247","BIOL114"
"1560436731-691","http://handbook.mq.edu.au/2019/Units/UGByCode","MMCS380 - Advanced Audio and Sound Design","http://handbook.mq.edu.au/2019/Units/UGUnit/MMCS380","null"
"1560438096-2100","http://handbook.mq.edu.au/2019/Units/UGByCode","ECON381 - Current Issues in Economics","http://handbook.mq.edu.au/2019/Units/UGUnit/ECON381","null"
"1560438738-2832","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS310 - Early Rome","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS310","AHST232"
"1560437461-1399","http://handbook.mq.edu.au/2019/Units/UGByCode","ISYS224 - Database Systems","http://handbook.mq.edu.au/2019/Units/UGUnit/ISYS224","ISYS114"
"1560437533-1443","http://handbook.mq.edu.au/2019/Units/UGByCode","HRM300 - Human Resources Learning and Development","http://handbook.mq.edu.au/2019/Units/UGUnit/HRM300","HRM250"
"1560438690-2801","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS358 - Ancient Hebrew C","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS358","null"
"1560436609-613","http://handbook.mq.edu.au/2019/Units/UGByCode","PHYS140 - Physics IA","http://handbook.mq.edu.au/2019/Units/UGUnit/PHYS140","MATH130"
"1560437966-1942","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC270 - Linear Circuits and Devices","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC270","ELEC166"
"1560437280-1219","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS528 - Competition and Consumer Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS528","BUSL301"
"1560437595-1500","http://handbook.mq.edu.au/2019/Units/UGByCode","GMN288 - Intermediate German II","http://handbook.mq.edu.au/2019/Units/UGUnit/GMN288","GMN287"
"1560436447-405","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY248 - Design and Statistics II","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY248","STAT170"
"1560437968-1952","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC260 - Introduction to Mechatronics","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC260","ELEC170"
"1560438580-2700","http://handbook.mq.edu.au/2019/Units/UGByCode","BBA350 - Strategic Management","http://handbook.mq.edu.au/2019/Units/UGUnit/BBA350","null"
"1560438609-2725","http://handbook.mq.edu.au/2019/Units/UGByCode","ANTH330 - Anthropology of Law","http://handbook.mq.edu.au/2019/Units/UGUnit/ANTH330","null"
"1560436998-926","http://handbook.mq.edu.au/2019/Units/UGByCode","MECH420 - Mechatronic Engineering Research Thesis A","http://handbook.mq.edu.au/2019/Units/UGUnit/MECH420","MECH320"
"1560438780-2870","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS211 - Ciceronian Rome","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS211","AHST103"
"1560438323-2362","http://handbook.mq.edu.au/2019/Units/UGByCode","COMP260 - Game Design","http://handbook.mq.edu.au/2019/Units/UGUnit/COMP260","MAS111"
"1560437809-1724","http://handbook.mq.edu.au/2019/Units/UGByCode","ENV267 - Australian Environmental Futures","http://handbook.mq.edu.au/2019/Units/UGUnit/ENV267","GEOS118"
"1560436455-442","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY236 - Biopsychology and Learning","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY236","PSYC104"
"1560438208-2255","http://handbook.mq.edu.au/2019/Units/UGByCode","ECH231 - Young Children's Language, Literature and Literacy","http://handbook.mq.edu.au/2019/Units/UGUnit/ECH231","null"
"1560438465-2520","http://handbook.mq.edu.au/2019/Units/UGByCode","CBMS201 - Biochemistry and Cell Biology","http://handbook.mq.edu.au/2019/Units/UGUnit/CBMS201","CBMS103"
"1560436148-63","http://handbook.mq.edu.au/2019/Units/UGByCode","TEP431 - Languages in the Secondary School I","http://handbook.mq.edu.au/2019/Units/UGUnit/TEP431","TEP388"
"1560438830-2898","http://handbook.mq.edu.au/2019/Units/UGByCode","AFIN328 - Financial Risk Management","http://handbook.mq.edu.au/2019/Units/UGUnit/AFIN328","AFIN252"
"1560437159-1120","http://handbook.mq.edu.au/2019/Units/UGByCode","LING309 - Disability and Multimodal Communication","http://handbook.mq.edu.au/2019/Units/UGUnit/LING309","LING288"
"1560437351-1313","http://handbook.mq.edu.au/2019/Units/UGByCode","LAW456 - Business Organisations","http://handbook.mq.edu.au/2019/Units/UGUnit/LAW456","null"
"1560437092-1065","http://handbook.mq.edu.au/2019/Units/UGByCode","MAS314 - Screenwriting: Images, Ideas, Stories","http://handbook.mq.edu.au/2019/Units/UGUnit/MAS314","MAS202"
"1560436426-368","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY349 - Design and Statistics III","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY349","PSY246"
"1560437064-1051","http://handbook.mq.edu.au/2019/Units/UGByCode","MATH133 - Mathematics IB (Advanced)","http://handbook.mq.edu.au/2019/Units/UGUnit/MATH133","MATH132"
"1560438210-2256","http://handbook.mq.edu.au/2019/Units/UGByCode","ECH218 - Child Development Preschool to Adolescence","http://handbook.mq.edu.au/2019/Units/UGUnit/ECH218","null"
"1560438307-2332","http://handbook.mq.edu.au/2019/Units/UGByCode","COMP344 - E-Commerce Technology","http://handbook.mq.edu.au/2019/Units/UGUnit/COMP344","ISYS224"
"1560438202-2247","http://handbook.mq.edu.au/2019/Units/UGByCode","ECH319 - The Arts in Education","http://handbook.mq.edu.au/2019/Units/UGUnit/ECH319","null"
"1560438760-2854","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS269 - Coptic Egyptian B","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS269","null"
"1560436863-802","http://handbook.mq.edu.au/2019/Units/UGByCode","MGMT330 - International Study Tour - India","http://handbook.mq.edu.au/2019/Units/UGUnit/MGMT330","null"
"1560436779-761","http://handbook.mq.edu.au/2019/Units/UGByCode","MKTG209 - Global Marketing","http://handbook.mq.edu.au/2019/Units/UGUnit/MKTG209","null"
"1560438218-2260","http://handbook.mq.edu.au/2019/Units/UGByCode","DMTH237 - Discrete Mathematics II","http://handbook.mq.edu.au/2019/Units/UGUnit/DMTH237","null"
"1560437491-1419","http://handbook.mq.edu.au/2019/Units/UGByCode","INTS210 - Modern Chinese History","http://handbook.mq.edu.au/2019/Units/UGUnit/INTS210","null"
"1560436761-705","http://handbook.mq.edu.au/2019/Units/UGByCode","MKTG310 - Marketing Metrics","http://handbook.mq.edu.au/2019/Units/UGUnit/MKTG310","MKTG202"
"1560436986-913","http://handbook.mq.edu.au/2019/Units/UGByCode","MECO310 - Telling True Stories 1","http://handbook.mq.edu.au/2019/Units/UGUnit/MECO310","MAS211"
"1560438335-2382","http://handbook.mq.edu.au/2019/Units/UGByCode","COMP225 - Algorithms and Data Structures","http://handbook.mq.edu.au/2019/Units/UGUnit/COMP225","MATH136"
"1560436426-369","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY349 - Design and Statistics III","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY349","PSY247"
"1560438056-2057","http://handbook.mq.edu.au/2019/Units/UGByCode","EDTE353 - Curriculum and Teaching in the Primary School 3","http://handbook.mq.edu.au/2019/Units/UGUnit/EDTE353","EDUC267"
"1560436210-170","http://handbook.mq.edu.au/2019/Units/UGByCode","STAT273 - Introduction to Probability","http://handbook.mq.edu.au/2019/Units/UGUnit/STAT273","STAT150"
"1560438439-2480","http://handbook.mq.edu.au/2019/Units/UGByCode","CBMS337 - Advanced Biochemistry and Cell Biology","http://handbook.mq.edu.au/2019/Units/UGUnit/CBMS337","CBMS202"
"1560438176-2213","http://handbook.mq.edu.au/2019/Units/UGByCode","ECHE210 - Play-based Curriculum: Literacy and Numeracy","http://handbook.mq.edu.au/2019/Units/UGUnit/ECHE210","ECH113"
