web-scraper-order,web-scraper-start-url,faculties,faculties-href,courses,courses-href,conditions
"1560498644-4166","https://www.handbook.unsw.edu.au/","Faculty of Law","https://www.handbook.unsw.edu.au/FacultyOfLaw/browse?id=57a56ceb4f0093004aa6eb4f0310c7b0","LAWS3356
      6 UOC
      Innovation Law and Policy","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/LAWS3356/?browseByFaculty=FacultyOfLaw&","Restricted to students enrolled in Legal Studies:
Prerequisite: Academic Program must be either 4055 or 3408 or 4054."
"1560499540-4600","https://www.handbook.unsw.edu.au/","Faculty of Engineering","https://www.handbook.unsw.edu.au/FacultyOfEngineering/browse?id=5fa56ceb4f0093004aa6eb4f0310c7af","BINF3020
      6 UOC
      Computational Bioinformatics","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BINF3020/?browseByFaculty=FacultyOfEngineering&","null"
"1560501875-5730","https://www.handbook.unsw.edu.au/","Faculty of Art & Design","https://www.handbook.unsw.edu.au/FacultyOfArtDesign/browse?id=57a56ceb4f0093004aa6eb4f0310c7af","ADAD1002
                      6 UOC
                    Studio Gateway 2","https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ADAD1002/?browseByFaculty=FacultyOfArtDesign&","null"
"1560497303-3551","https://www.handbook.unsw.edu.au/","UNSW Canberra at ADFA","https://www.handbook.unsw.edu.au/UnswCanberraAtAdfa/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ad","ZBUS1101
                      6 UOC
                    Organisational Behaviour","https://www.handbook.unsw.edu.au/undergraduate/courses/2019/ZBUS1101/?browseByFaculty=UnswCanberraAtAdfa&","null"
"1560501106-5354","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","ARTS2690
      6 UOC
      Semantics and Pragmatics","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS2690/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: 24 units of credit at Level 1"
"1560499477-4569","https://www.handbook.unsw.edu.au/","Faculty of Engineering","https://www.handbook.unsw.edu.au/FacultyOfEngineering/browse?id=5fa56ceb4f0093004aa6eb4f0310c7af","BIOM9541
      6 UOC
      Mechanics of the Human Body","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BIOM9541/?browseByFaculty=FacultyOfEngineering&","null"
"1560498186-3973","https://www.handbook.unsw.edu.au/","Faculty of Medicine","https://www.handbook.unsw.edu.au/FacultyOfMedicine/browse?id=5fa56ceb4f0093004aa6eb4f0310c7b0","YMED3003
      6 UOC
      Environmental Community Health","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/YMED3003/?browseByFaculty=FacultyOfMedicine&","null"
"1560501555-5571","https://www.handbook.unsw.edu.au/","Faculty of Art & Design","https://www.handbook.unsw.edu.au/FacultyOfArtDesign/browse?id=57a56ceb4f0093004aa6eb4f0310c7af","SART3801
      6 UOC
      Special Projects - Studio","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/SART3801/?browseByFaculty=FacultyOfArtDesign&","null"
"1560500563-5087","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","CRIM3015
      6 UOC
      State Crime and Human Rights","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CRIM3015/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: CRIM2021 or LAWS1022"
"1560497920-3845","https://www.handbook.unsw.edu.au/","Faculty of Science","https://www.handbook.unsw.edu.au/FacultyOfScience/browse?id=57a56ceb4f0093004aa6eb4f0310c7ae","CHEM1811
      6 UOC
      Engineering Chemistry 1A","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM1811/?browseByFaculty=FacultyOfScience&","Exclusion: CHEM1011 and CHEM1031 and CHEM1051 and CEIC1001 and MATS1101"
"1560499150-4407","https://www.handbook.unsw.edu.au/","Faculty of Engineering","https://www.handbook.unsw.edu.au/FacultyOfEngineering/browse?id=5fa56ceb4f0093004aa6eb4f0310c7af","CVEN3402
      6 UOC
      Transport Engineering and Environmental Sustainability","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CVEN3402/?browseByFaculty=FacultyOfEngineering&","null"
"1560498021-3895","https://www.handbook.unsw.edu.au/","Faculty of Science","https://www.handbook.unsw.edu.au/FacultyOfScience/browse?id=57a56ceb4f0093004aa6eb4f0310c7ae","BEES4516
      12 UOC
      Biological, Earth and Environmental Sciences Honours","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BEES4516/?browseByFaculty=FacultyOfScience&","null"
